Timeout|Limit|Ordering|C|Average depth|Average branching|Report frequency|Progress list|Acquired amount|Unaccepted amount
180|1|random|0.0|12.986266|3.14176|1.8|[15, 21, 23, 35, 42, 44, 46, 53, 59, 61, 66, 74, 78, 79, 85, 90, 97, 98, 105, 109, 115, 120, 123, 130, 138, 144, 150, 158, 164, 175, 185, 193, 200, 209, 213, 219, 226, 232, 238, 244, 248, 253, 261, 265, 272, 278, 282, 292, 297, 305, 314, 319, 323, 331, 341, 343, 351, 361, 372, 382, 390, 391, 398, 402, 410, 419, 423, 429, 435, 442, 443, 447, 455, 461, 470, 475, 480, 484, 491, 495, 501, 504, 510, 518, 521, 526, 533, 537, 542, 547, 553, 556, 561, 564, 570, 576, 586, 590, 593, 596]|597|3674
180|1|fixed|0.0|10.351954|8.883241|1.8|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|0|5961
180|10|random|0.0|10.779196|3.567666|1.8|[63, 106, 152, 192, 212, 221, 259, 266, 299, 319, 348, 366, 403, 440, 468, 487, 510, 516, 532, 544, 586, 599, 643, 664, 709, 751, 781, 812, 849, 861, 884, 906, 906, 933, 980, 991, 1006, 1027, 1047, 1063, 1085, 1101, 1118, 1163, 1196, 1212, 1230, 1239, 1245, 1257, 1287, 1321, 1335, 1339, 1363, 1364, 1379, 1391, 1398, 1425, 1462, 1479, 1481, 1495, 1518, 1564, 1585, 1595, 1611, 1625, 1660, 1662, 1666, 1698, 1721, 1734, 1747, 1762, 1773, 1787, 1802, 1817, 1842, 1859, 1876, 1892, 1910, 1915, 1944, 1957, 1969, 1977, 1993, 2003, 2041, 2063, 2086, 2104]|2120|6946
180|10|fixed|0.0|8.993876|2.817887|1.8|[381, 1204, 1932, 2691, 3296, 3900, 4267, 4647, 5013, 5344, 5667, 5936, 6101, 6359, 6546, 6795, 6926, 7071, 7200, 7333, 7445, 7548, 7650, 7714, 7798, 7849, 7915, 7996, 8018, 8076, 8117, 8151, 8170, 8203, 8229, 8251, 8274, 8307, 8349, 8377, 8394, 8420, 8444, 8462, 8483, 8514, 8522, 8556, 8564, 8578, 8597, 8597, 8617, 8632, 8654, 8670, 8687, 8712, 8726, 8747, 8766, 8777, 8780, 8784, 8788, 8793, 8803, 8813, 8819, 8819, 8824, 8831, 8837, 8853, 8858, 8867, 8884, 8893, 8903, 8910, 8920, 8931, 8935, 8942, 8950, 8955, 8963, 8973, 8983, 8987, 8989, 9001, 9007, 9023, 9042, 9046, 9051, 9054, 9057]|9059|445
180|50|random|0.0|8.96371|3.60828|1.8|[44, 92, 270, 410, 455, 744, 873, 1096, 1311, 1411, 1578, 1664, 1696, 1861, 2103, 2248, 2392, 2457, 2494, 2564, 2651, 2726, 2726, 2847, 2936, 3115, 3280, 3394, 3475, 3559, 3571, 3607, 3714, 3749, 3833, 4014, 4090, 4233, 4289, 4356, 4420, 4493, 4560, 4623, 4655, 4803, 4873, 4949, 5015, 5098, 5172, 5190, 5227, 5289, 5302, 5350, 5383, 5455, 5499, 5551, 5603, 5682, 5726, 5776, 5841, 5854, 5922, 5980, 6081, 6115, 6172, 6217, 6249, 6313, 6368, 6407, 6456, 6530, 6538, 6593, 6615, 6631, 6688, 6696, 6721, 6821, 6823, 6855, 6904, 6926, 6964, 7004, 7048, 7105, 7130, 7167, 7180, 7237]|7238|7049
180|50|fixed|0.0|7.0|7.0|1.8|[98, 98, 119, 119, 119, 177, 177, 177, 205, 228, 256, 306, 329, 357, 388, 463, 502, 502, 502, 502, 529, 562, 596, 596, 626, 626, 662, 662, 700, 700, 700, 735, 735, 735, 766, 795, 795, 795, 795, 795, 795, 795, 795, 819, 819, 855, 855, 855, 855, 855, 855, 916, 965, 965, 965, 1002, 1033, 1033, 1065, 1065, 1101, 1101, 1101, 1134, 1134, 1134, 1134, 1134, 1164, 1164, 1164, 1196, 1196, 1196, 1225, 1225, 1225, 1259, 1259, 1259, 1259, 1259, 1259, 1292, 1292, 1292, 1318, 1318, 1318, 1345, 1345]|1345|11706
180|200|random|0.0|7.298785|3.71779|1.8|[2674, 2953, 3324, 3470, 3470, 3614, 4091, 4307, 4385, 4669, 4879, 5109, 5123, 5251, 5589, 5693, 5908, 6226, 6399, 6725, 6793, 6950, 7044, 7187, 7315, 7482, 7727, 7950, 8122, 8238, 8292, 8450, 8475, 8546, 8611, 8662, 8684, 8824, 8902, 8928, 8972, 9044, 9090, 9108, 9185, 9188, 9271, 9327, 9333, 9385, 9428, 9445, 9445, 9467, 9534, 9557, 9577, 9602, 9636, 9659, 9668, 9685, 9686, 9693, 9695, 9702, 9704, 9706, 9706, 9720, 9726, 9726, 9726, 9726, 9728, 9728, 9735, 9735, 9736, 9738, 9738, 9750, 9751, 9754, 9754, 9756, 9756]|9758|4086
180|200|fixed|0.0|6.800078|6.400235|1.8|[23, 23, 91, 91, 176, 176, 206, 298, 361, 391, 491, 555, 555, 555, 555, 555, 582, 582, 609, 609, 639, 639, 691, 691, 691, 691, 691, 717, 843, 866, 866, 896, 896, 972, 972, 1031, 1061, 1099, 1099, 1099, 1099, 1131, 1184, 1184, 1184, 1184, 1217, 1217, 1251, 1251, 1251, 1251, 1251, 1251, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1311]|1311|5060
180|1|random|1.0|12.973999|3.091578|1.8|[2, 32, 55, 82, 115, 139, 174, 195, 222, 242, 262, 282, 297, 320, 338, 360, 375, 392, 416, 441, 466, 484, 506, 528, 548, 568, 577, 594, 615, 636, 655, 672, 693, 710, 720, 739, 759, 775, 791, 812, 824, 850, 870, 889, 898, 911, 925, 942, 956, 973, 983, 999, 1011, 1027, 1046, 1056, 1068, 1078, 1095, 1109, 1123, 1133, 1148, 1160, 1176, 1187, 1200, 1218, 1233, 1242, 1258, 1277, 1293, 1298, 1311, 1323, 1340, 1358, 1367, 1381, 1397, 1407, 1415, 1431, 1444, 1461, 1472, 1483, 1496, 1509, 1520, 1536, 1554, 1571, 1580, 1592, 1601, 1611, 1619]|1632|2555
180|1|fixed|1.0|10.348932|8.918616|1.8|[2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]|7|5891
